timestamp,http_client_request_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-01-18 12:43:49,2106,403,15.33,16.779999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:50,2106,403,15.35,16.81,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:51,2106,403,15.37,16.83,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:52,2106,403,15.4,16.849999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:53,2106,403,15.41,16.88,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:54,2106,403,15.45,16.889999999999993,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:55,2106,403,15.46,16.919999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:56,2106,403,15.48,16.95,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:57,2106,403,15.5,16.959999999999994,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:58,2106,403,15.51,16.99,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:59,2106,403,15.56,17.009999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:00,2106,403,15.58,17.029999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:00,2106,403,15.58,17.029999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:01,2106,403,15.6,17.049999999999994,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:02,2106,403,15.61,17.09,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:03,2106,403,15.64,17.11,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:04,2106,403,15.66,17.13,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:05,2106,403,15.68,17.16,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:06,2106,403,15.69,17.189999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:07,2106,403,15.71,17.209999999999994,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:08,2106,403,15.73,17.24,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:09,2106,403,15.76,17.279999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:10,2106,403,15.81,17.319999999999997,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:11,2106,403,15.83,17.349999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:12,2106,403,15.85,17.36,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:13,2106,403,15.88,17.369999999999994,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:14,2106,403,15.91,17.41,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:15,2106,403,15.94,17.45,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:16,2106,403,15.96,17.47,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:17,2106,403,15.99,17.5,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:18,2106,403,16.020000000000003,17.52,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:19,2106,403,16.040000000000006,17.529999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:20,2106,403,16.07,17.54,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:21,2106,403,16.1,17.549999999999994,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:22,2106,403,16.110000000000007,17.58,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:23,2106,403,16.12,17.61,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:24,2106,403,16.14,17.63,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:25,2106,403,16.150000000000002,17.65,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:26,2106,403,16.17,17.669999999999995,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:44:27,2106,403,16.200000000000006,17.68,299,0,1,9700,184821,355100,355184,67792
