,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,
2024-07-24 09:30:51,142,8,511.998046875,39,505,512.0,437,8,511.998046875,3908,3,512.0,5
2024-07-24 09:30:52,143,8,511.998046875,39,508,512.0,440,8,511.998046875,3935,3,512.0,5
2024-07-24 09:30:53,144,8,511.998046875,39,512,512.0,443,8,511.998046875,3962,3,512.0,5
2024-07-24 09:30:54,145,8,511.998046875,39,515,512.0,446,8,511.998046875,3989,3,512.0,5
2024-07-24 09:30:55,146,8,511.998046875,39,519,512.0,449,8,511.998046875,4016,3,512.0,5
2024-07-24 09:30:56,147,8,511.998046875,39,522,512.0,452,8,511.998046875,4043,3,512.0,5
2024-07-24 09:30:57,148,8,511.998046875,39,526,512.0,455,8,511.998046875,4070,3,512.0,5
2024-07-24 09:30:58,149,8,511.998046875,39,529,512.0,458,8,511.998046875,4097,3,512.0,5
2024-07-24 09:30:59,150,8,511.998046875,39,533,512.0,461,8,511.998046875,4124,3,512.0,5
2024-07-24 09:31:00,151,8,511.998046875,39,536,512.0,464,8,511.998046875,4151,3,512.0,5
2024-07-24 09:31:01,152,8,511.998046875,39,540,512.0,467,8,511.998046875,4178,3,512.0,5
2024-07-24 09:31:02,153,8,511.998046875,39,543,512.0,470,8,511.998046875,4205,3,512.0,5
2024-07-24 09:31:03,154,8,511.998046875,39,547,512.0,473,8,511.998046875,4232,3,512.0,5
2024-07-24 09:31:04,155,8,511.998046875,39,550,512.0,476,8,511.998046875,4259,3,512.0,5
2024-07-24 09:31:05,156,8,511.998046875,39,553,512.0,479,8,511.998046875,4286,3,512.0,5
2024-07-24 09:31:06,157,8,511.998046875,39,557,512.0,482,8,511.998046875,4313,3,512.0,5
2024-07-24 09:31:07,158,8,511.998046875,39,560,512.0,485,8,511.998046875,4340,3,512.0,5
2024-07-24 09:31:08,159,8,511.998046875,39,564,512.0,488,8,511.998046875,4367,3,512.0,5
2024-07-24 09:31:09,160,8,511.998046875,39,567,512.0,491,8,511.998046875,4394,3,512.0,5
2024-07-24 09:31:10,161,8,511.998046875,39,571,512.0,494,8,511.998046875,4421,3,512.0,5
2024-07-24 09:31:11,162,8,511.998046875,39,574,512.0,497,8,511.998046875,4448,3,512.0,5
2024-07-24 09:31:12,163,8,511.998046875,39,578,512.0,500,8,511.998046875,4475,3,512.0,5
2024-07-24 09:31:13,164,8,511.998046875,39,581,512.0,503,8,511.998046875,4502,3,512.0,5
2024-07-24 09:31:14,165,8,511.998046875,39,585,512.0,506,8,511.998046875,4529,3,512.0,5
2024-07-24 09:31:15,166,8,511.998046875,39,588,512.0,509,8,511.998046875,4556,3,512.0,5
2024-07-24 09:31:16,167,8,511.998046875,39,592,512.0,512,8,511.998046875,4583,3,512.0,5
2024-07-24 09:31:17,168,8,511.998046875,39,595,512.0,515,8,511.998046875,4610,3,512.0,5
2024-07-24 09:31:18,169,8,511.998046875,39,599,512.0,518,8,511.998046875,4637,3,512.0,5
2024-07-24 09:31:19,170,8,511.998046875,39,602,512.0,521,8,511.998046875,4664,3,512.0,5
2024-07-24 09:31:20,171,8,511.998046875,39,606,512.0,524,8,511.998046875,4691,3,512.0,5
2024-07-24 09:31:21,172,8,511.998046875,39,609,512.0,527,8,511.998046875,4718,3,512.0,5
2024-07-24 09:31:22,173,8,511.998046875,39,613,512.0,530,8,511.998046875,4745,3,512.0,5
2024-07-24 09:31:23,174,8,511.998046875,39,616,512.0,533,8,511.998046875,4772,3,512.0,5
2024-07-24 09:31:24,175,8,511.998046875,39,620,512.0,536,8,511.998046875,4799,3,512.0,5
2024-07-24 09:31:25,176,8,511.998046875,39,623,512.0,539,8,511.998046875,4826,3,512.0,5
2024-07-24 09:31:26,177,8,511.998046875,39,627,512.0,542,8,511.998046875,4853,3,512.0,5
2024-07-24 09:31:27,178,8,511.998046875,39,630,512.0,545,8,511.998046875,4880,3,512.0,5
2024-07-24 09:31:28,179,8,511.998046875,39,634,512.0,548,8,511.998046875,4907,3,512.0,5
2024-07-24 09:31:29,180,8,511.998046875,39,637,512.0,551,8,511.998046875,4934,3,512.0,5
2024-07-24 09:31:30,181,8,511.998046875,39,641,512.0,554,8,511.998046875,4961,3,512.0,5
2024-07-24 09:31:31,182,8,511.998046875,39,644,512.0,557,8,511.998046875,4988,3,512.0,5
2024-07-24 09:31:32,183,8,511.998046875,39,648,512.0,560,8,511.998046875,5015,3,512.0,5
2024-07-24 09:31:33,184,8,511.998046875,39,651,512.0,563,8,511.998046875,5042,3,512.0,5
2024-07-24 09:31:34,185,8,511.998046875,39,654,512.0,566,8,511.998046875,5069,3,512.0,5
2024-07-24 09:31:35,186,8,511.998046875,39,658,512.0,569,8,511.998046875,5096,3,512.0,5
2024-07-24 09:31:36,187,8,511.998046875,39,661,512.0,572,8,511.998046875,5123,3,512.0,5
2024-07-24 09:31:37,188,8,511.998046875,39,665,512.0,575,8,511.998046875,5150,3,512.0,5
2024-07-24 09:31:38,189,8,511.998046875,39,668,512.0,578,8,511.998046875,5177,3,512.0,5
2024-07-24 09:31:39,190,8,511.998046875,39,672,512.0,581,8,511.998046875,5204,3,512.0,5
2024-07-24 09:31:40,191,8,511.998046875,39,675,512.0,584,8,511.998046875,5231,3,512.0,5
2024-07-24 09:31:41,192,8,511.998046875,39,679,512.0,587,8,511.998046875,5258,3,512.0,5
2024-07-24 09:31:42,193,8,511.998046875,39,682,512.0,590,8,511.998046875,5285,3,512.0,5
2024-07-24 09:31:43,194,8,511.998046875,39,686,512.0,593,8,511.998046875,5312,3,512.0,5
2024-07-24 09:31:44,195,8,511.998046875,39,689,512.0,596,8,511.998046875,5339,3,512.0,5
